"state","number_of_schools","total_takers","yield_per_teacher","total_passed","percent_passed","total_female","total_female_passed","percent_female_passed","percent_female_taking","total_black","total_black_passed","percent_black_passed","percent_black_taking","percent_black_state","attempt_rate_black","total_black_females","total_black_females_passed","percent_black_females_passed","total_hispanic","total_hispanic_passed","percent_hispanic_passed","total_hispanic_female","total_hispanic_female_passed","percent_hispanic_female_passed","percent_hispanic_taking","percent_hispanic_state","attempt_rate_hispanic"
"California","211","4964","23.526066350710902","3761","75.765511684125713","1074","776","72.253258845437614","21.6357775987107","74","42","56.756756756756758","1.49073327961322","6.7","22.2497504419883","16","8","50","392","186","47.448979591836739","82","24","29.27","7.89685737308622","37.6","21.0022802475697"
"Texas","271","3979","14.682656826568266","2454","61.673787383764768","910","520","57.142857142857139","22.8700678562453","132","64","48.484848484848484","3.31741643629053","11.9","27.8774490444582","30","14","46.666666666666664","751","334","44.474034620505989","178","56","31.46","18.8740889670772","37.6","50.1970451252052"
"New York","124","1858","14.983870967741936","1278","68.783638320775026","377","216","57.294429708222815","20.2906350914962","68","23","33.82352941176471","3.65984930032293","15.2","24.0779559231772","19","2","10.526315789473683","150","53","35.333333333333336","45","10","22.222222222222221","8.07319698600646","17.6","45.8704374204912"
"Virginia","110","1655","15.045454545454545","1074","60.37151703","308","207","67.20779220779221","18.6102719033233","78","22","28.205128205128204","4.71299093655589","19.9","23.6833715404819","16","5","31.25","90","42","46.666666666666664","9","2",,"5.4380664652568","7.9","68.8362843703392"
"Maryland","112","1629","14.544642857142858","1068","65.561694290976064","323","190","58.82352941176471","19.8281154082259","170","46","27.058823529411764","10.4358502148557","29.4","35.496089166176","51","10","19.607843137254903","88","39","44.31818181818182","18","6",,"5.40208717004297","8.2","65.8791118297924"
"New Jersey","139","1582","11.381294964028777","1171","74.020227560050571","242","169","69.834710743801651","15.2970922882427","34","16","47.058823529411761","2.14917825537295","14.5","14.821919002572","7","3","42.857142857142854","96","50","52.083333333333336","11","2","18.18","6.06826801517067","17.7","34.28400008571"
"Illinois","93","1559","16.763440860215052","1083","69.467607440667095","203","130","64.039408866995075","13.0211674150096","25","10","40","1.60359204618345","14.9","10.7623627260634","4",,,"142","56","39.436619718309856","23","5","21.739130434782609","9.108402822322","15.8","57.6481191286203"
"Florida","103","1521","14.766990291262136","663","43.589743589743591","306","107","34.967320261437905","20.1183431952663","83","16","19.277108433734941","5.456936226167","15.9","34.3203536236918","5","1","20","269","120","44.609665427509292","47","14","29.787234042553191","17.6857330703485","22.5","78.6032580904376"
"Georgia","83","1261","15.19277108433735","644","51.070578905630448","229","85","37.117903930131","18.1601903251388","129","28","21.705426356589147","10.2299762093577","30","34.0999206978588","33","4","12.121212121212121","71","29","40.845070422535215","16","6","37.5","5.6304520222046","8.8","63.9824093432341"
"Mass","91","1067","11.725274725274724","712","66.729147141518268","188","116","61.702127659574465","17.6194939081537","34","13","38.235294117647058","3.18650421743205","7","45.5214888204579","6","1","16.666666666666664","56","22","39.285714285714285","16","5","31.25","5.24835988753514","9.6","54.6704154951578"
