"id","rank","workers","company","state_l","state_s","growth","revenue","industry","yrs_on_list"
"42940","1","218","Loot Crate","California","CA","66788.5962","116247698","Consumer Products  and  Services","1"
"42941","2","100","Paint Nite","Massachusetts","MA","36555.2472","55018793","Consumer Products  and  Services","1"
"42942","3","47","CalCom Solar","California","CA","31633.5448","33507450","Energy","1"
"36643","4","82","eLuxurySupply.com","Indiana","IN","23619.7198","30695215","Retail","2"
"36639","5","48","Company.com","Georgia","GA","23486.8894","33370967","Business Products  and  Services","2"
"42943","6","15","Globalization Partners","Massachusetts","MA","16196.5338","17743829","Business Products  and  Services","1"
"42944","7","130","Bounce Exchange","New York","NY","14574.6474","15733570","Software","1"
"42945","8","25","Los York","California","CA","14404.6093","15598837","Advertising  and  Marketing","1"
"42946","9","39","PANTHERx Specialty Pharmacy","Pennsylvania","PA","13380.8799","42425003","Health","1"
"42947","10","9","FedBiz IT Solutions","Virginia","VA","12620.5845","25863238","Government Services","1"
"42948","11","14","Small Business Owners of America","Ohio","OH","12059.8622","12369863","Financial Services","1"
"42949","12","52","PLANIT GROUP","North Carolina","NC","11525.3681","11518066","IT Services","1"
"42950","13","250","Suja Juice","California","CA","10511.0846","65877327","Food  and  Beverage","1"
"42951","14","105","S2 Capital","Texas","TX","9645.7324","28804779","Real Estate","1"
"37197","15","35","FormulaFolio Investments","Michigan","MI","9400.5092","11212596","Financial Services","2"
"42952","16","171","Persado","New York","NY","9389.7747","17432811","Software","1"
"42953","17","15","Berkley","California","CA","9249.2602","11449478","Manufacturing","1"
"42954","18","185","Exusia","New York","NY","8803.2659","14917600","IT Services","1"
"42955","19","35","Thrive Farmers","Georgia","GA","8577.1781","23181949","Food  and  Beverage","1"
"42956","20","10","Tribeca Marketing Group","Florida","FL","8395.2895","8629685","Education","1"
"36809","21","15","C and H Financial Services","Illinois","IL","8052.9041","17349869","Financial Services","2"
"42957","22","6","PAYKINGS","Florida","FL","7905.4255","8099089","Financial Services","1"
"42958","23","5","Highland Project Logistics","New Hampshire","NH","7903.554","8003634","Logistics  and  Transportation","1"
"42959","24","8","Furniture Solutions Group","Maryland","MD","7799.5978","8623201","Business Products  and  Services","1"
"37267","25","200","Midwest Equity Mortgage","Illinois","IL","7754.3956","971148423","Financial Services","2"
"42960","26","16","Big Block Realty","California","CA","7612.7068","19031027","Real Estate","1"
"44578","26","235","Cylance","California","CA","7613.0469","11100000","Security","1"
"42961","27","30","Blackstone Labs","Florida","FL","7546.0566","9718979","Health","1"
"42962","28","25","Elements Holdings Group Inc  and  Subsidiaries","Illinois","IL","7117.1678","18557648","Business Products  and  Services","1"
"42963","29","140","Legend Solar","Utah","UT","7101.8827","13005808","Energy","1"
"42964","30","72","Taldepot.com","New York","NY","6988.2629","14855156","Retail","1"
"42965","31","105","Nine Line Apparel","Georgia","GA","6961.9116","9392978","Retail","1"
"42966","32","17","The Penny Hoarder","Florida","FL","6934.2","7548189","Media","1"
"42967","33","67","Inspire Medical Systems","Minnesota","MN","6889.2358","8012390","Health","1"
"42968","34","45","The Phoenix Recovery  and  Counseling Centers","Utah","UT","6545.0388","6678264","Health","1"
"42969","35","31","n2grate","Maryland","MD","6402.4541","43416041","Government Services","1"
"42970","36","36","Remarkable Liquids","New York","NY","6186.9173","7427427","Food  and  Beverage","1"
"42971","37","27","Chicken Salad Chick","Alabama","AL","6042.7337","9783962","Food  and  Beverage","1"
"36685","38","68","HAYSTACKID","Massachusetts","MA","5962.3447","6477979","IT Services","2"
"42972","39","5","Chelsea Financial Group","New Jersey","NJ","5961.1366","12244587","Insurance","1"
"42973","40","37","JM Bullion","Texas","TX","5907.0651","661260608","Financial Services","1"
"42974","41","56","Cirruspath","California","CA","5903.1561","6583181","Software","1"
"36634","42","302","Castle Medical","Georgia","GA","5882.1595","49053588","Health","2"
"42975","43","101","Zurixx","Utah","UT","5626.0982","130066373","Education","1"
"42976","44","15","MacStadium","Georgia","GA","5341.1471","5890205","IT Services","1"
"36671","45","27","ReVamp Electronics","Illinois","IL","5301.0727","13614808","Business Products  and  Services","2"
"42977","46","40","Atlas MedStaff","Nebraska","NE","5229.4509","24522882","Health","1"
"42978","47","25","Chosen Foods","California","CA","5147.8332","31674347","Food  and  Beverage","1"
"42979","48","95","BigRentz","California","CA","5092.6703","30137895","Construction","1"
"42980","49","138","Interactive Government Holdings","Virginia","VA","5057.8884","7190767","Government Services","1"
"42981","50","100","Impact CNC","Indiana","IN","4929.7579","19504848","Manufacturing","1"
